timestamps population node_ids
117.60000000009546 LUT 87
257.00000000012415 LUT 87
458.90000000017005 LUT 87
638.8000000000668 LUT 87
767.3999999999498 LUT 87
784.1999999999346 LUT 87
859.2999999998663 LUT 87
998.9999999997392 LUT 87
117.60000000009546 LUT 88
257.00000000012415 LUT 88
458.90000000017005 LUT 88
638.8000000000668 LUT 88
767.3999999999498 LUT 88
784.1999999999346 LUT 88
859.2999999998663 LUT 88
998.9999999997392 LUT 88
117.60000000009546 LUT 89
257.00000000012415 LUT 89
458.90000000017005 LUT 89
638.8000000000668 LUT 89
767.3999999999498 LUT 89
784.1999999999346 LUT 89
859.2999999998663 LUT 89
998.9999999997392 LUT 89
117.0000000000955 LUT 100
256.400000000124 LUT 100
458.3000000001699 LUT 100
638.2000000000673 LUT 100
766.7999999999504 LUT 100
783.5999999999351 LUT 100
858.6999999998668 LUT 100
998.3999999997397 LUT 100
117.0000000000955 LUT 101
256.400000000124 LUT 101
458.3000000001699 LUT 101
638.2000000000673 LUT 101
766.7999999999504 LUT 101
783.5999999999351 LUT 101
858.6999999998668 LUT 101
998.3999999997397 LUT 101
117.0000000000955 LUT 102
256.400000000124 LUT 102
458.3000000001699 LUT 102
638.2000000000673 LUT 102
766.7999999999504 LUT 102
783.5999999999351 LUT 102
858.6999999998668 LUT 102
998.3999999997397 LUT 102
117.0000000000955 LUT 103
256.400000000124 LUT 103
458.3000000001699 LUT 103
638.2000000000673 LUT 103
766.7999999999504 LUT 103
783.5999999999351 LUT 103
858.6999999998668 LUT 103
998.3999999997397 LUT 103
117.0000000000955 LUT 104
256.400000000124 LUT 104
458.3000000001699 LUT 104
638.2000000000673 LUT 104
766.7999999999504 LUT 104
783.5999999999351 LUT 104
858.6999999998668 LUT 104
998.3999999997397 LUT 104
117.0000000000955 LUT 105
256.400000000124 LUT 105
458.3000000001699 LUT 105
638.2000000000673 LUT 105
766.7999999999504 LUT 105
783.5999999999351 LUT 105
858.6999999998668 LUT 105
998.3999999997397 LUT 105
117.0000000000955 LUT 106
256.400000000124 LUT 106
458.3000000001699 LUT 106
638.2000000000673 LUT 106
766.7999999999504 LUT 106
783.5999999999351 LUT 106
858.6999999998668 LUT 106
998.3999999997397 LUT 106
117.0000000000955 LUT 107
256.400000000124 LUT 107
458.3000000001699 LUT 107
638.2000000000673 LUT 107
766.7999999999504 LUT 107
783.5999999999351 LUT 107
858.6999999998668 LUT 107
998.3999999997397 LUT 107
117.0000000000955 LUT 108
256.400000000124 LUT 108
458.3000000001699 LUT 108
638.2000000000673 LUT 108
766.7999999999504 LUT 108
783.5999999999351 LUT 108
858.6999999998668 LUT 108
998.3999999997397 LUT 108
117.0000000000955 LUT 109
256.400000000124 LUT 109
458.3000000001699 LUT 109
638.2000000000673 LUT 109
766.7999999999504 LUT 109
783.5999999999351 LUT 109
858.6999999998668 LUT 109
998.3999999997397 LUT 109
1022.9999999997174 LUT 0
1031.19999999971 LUT 0
1043.7999999996985 LUT 0
1113.3999999996352 LUT 0
1122.1999999996272 LUT 0
1141.7999999996093 LUT 0
1156.8999999995956 LUT 0
1212.0999999995454 LUT 0
1331.5999999994367 LUT 0
1399.6999999993748 LUT 0
1457.799999999322 LUT 0
1472.5999999993085 LUT 0
1563.6999999992256 LUT 0
1575.4999999992149 LUT 0
1581.0999999992098 LUT 0
1637.2999999991587 LUT 0
1710.699999999092 LUT 0
1743.0999999990624 LUT 0
1759.1999999990478 LUT 0
1822.3999999989903 LUT 0
1846.6999999989682 LUT 0
1953.8999999988707 LUT 0
1113.3999999996352 LUT 1
1113.3999999996352 LUT 2
1113.3999999996352 LUT 3
1113.3999999996352 LUT 4
1113.3999999996352 LUT 5
1113.3999999996352 LUT 6
1113.3999999996352 LUT 7
1113.3999999996352 LUT 8
1113.3999999996352 LUT 9
