timestamps population node_ids
55375.613622364144 PAGaff 20
55495.46222581501 PAGaff 20
55516.166830150156 PAGaff 20
55553.84008788021 PAGaff 20
55773.50271761197 PAGaff 20
55813.120953051824 PAGaff 20
55919.329209146956 PAGaff 20
55934.04483573059 PAGaff 20
55942.73693420856 PAGaff 20
55960.90643222051 PAGaff 20
55990.6284542066 PAGaff 20
59084.169386825284 PAGaff 20
59100.08097820101 PAGaff 20
59110.15501816257 PAGaff 20
59140.86233855048 PAGaff 20
59271.083887250265 PAGaff 20
59322.19248203996 PAGaff 20
59346.87176701623 PAGaff 20
59460.70782145768 PAGaff 20
59544.35199877586 PAGaff 20
59672.63663664534 PAGaff 20
59674.158167968766 PAGaff 20
59784.967254905416 PAGaff 20
59804.181620395706 PAGaff 20
59852.004260389345 PAGaff 20
59889.02658643683 PAGaff 20
1029.0259891885837 PAGaff 21
1128.703146101942 PAGaff 21
1247.3569115370535 PAGaff 21
1324.2621017322908 PAGaff 21
1338.0625780856196 PAGaff 21
1539.8012448491447 PAGaff 21
1564.1477254137574 PAGaff 21
1720.180471654445 PAGaff 21
1861.8277577468145 PAGaff 21
1880.1269137726738 PAGaff 21
8058.505635230567 PAGaff 21
8063.493011855289 PAGaff 21
8070.766824508509 PAGaff 21
8189.8896349457555 PAGaff 21
8289.96197439598 PAGaff 21
8294.725825860338 PAGaff 21
8364.162349055854 PAGaff 21
8421.255548993058 PAGaff 21
8427.163211480894 PAGaff 21
8434.581945093494 PAGaff 21
8447.13540408419 PAGaff 21
8579.195739243909 PAGaff 21
8642.111023595136 PAGaff 21
8706.825271315858 PAGaff 21
8755.886478318074 PAGaff 21
8783.551001923763 PAGaff 21
8933.84393827081 PAGaff 21
8982.034843640635 PAGaff 21
8993.63640524019 PAGaff 21
13005.659985514172 PAGaff 21
13014.669688361324 PAGaff 21
13109.211367470987 PAGaff 21
13114.08512136108 PAGaff 21
13187.14578884732 PAGaff 21
13271.597213439913 PAGaff 21
13419.166754977145 PAGaff 21
13427.898825259594 PAGaff 21
13542.2309923434 PAGaff 21
13592.430279743678 PAGaff 21
13668.394518950112 PAGaff 21
13722.27606068736 PAGaff 21
13732.347310201507 PAGaff 21
13972.921019295769 PAGaff 21
15028.021136374908 PAGaff 21
15045.528442230532 PAGaff 21
